1  	еще	2323.9	45
2  	уже	2179.2	50
3  	очень	1286.8	69
4  	можно	1125.9	82
5  	надо	993.2	91
6  	нет	874.0	107
7  	тоже	841.5	111
8  	более	706.2	133
9  	конечно	647.3	139
10  	также	569.9	158
11  	вдруг	503.2	180
12  	почти	501.7	183
13  	сразу	486.0	189
14  	хорошо	485.7	190
15  	сегодня	463.5	202
16  	совсем	460.5	204
17  	вообще	417.6	225
18  	больше	415.3	227
19  	вместе	414.3	228
20  	например	398.0	243
21  	нужно	353.7	277
22  	опять	342.2	288
23  	снова	334.4	296
24  	нельзя	317.7	313
25  	особенно	300.3	337
26  	рядом	291.8	349
27  	назад	290.7	351
28  	совершенно	280.3	372
29  	значит	274.9	382
30  	давно	272.0	386
31  	действительно	268.6	389
32  	наконец	265.9	393
33  	часто	257.8	408
34  	быстро	255.7	412
35  	долго	253.1	417
36  	правда	252.4	418
37  	иногда	249.8	421
38  	чуть	248.3	425
39  	затем	241.3	438
40  	слишком	230.1	464
41  	вполне	229.8	466
42  	далее	229.6	467
43  	может	221.0	488
44  	впрочем	220.7	489
45  	наверное	220.2	491
46  	пока	213.4	508
47  	достаточно	204.7	535
48  	менее	192.9	578
49  	кстати	190.3	591
50  	сначала	184.6	608
51  	довольно	180.2	618
52  	однажды	170.2	666
53  	домой	169.6	669
54  	скоро	167.3	679
55  	наиболее	167.2	680
56  	обычно	166.7	682
57  	далеко	165.5	688
58  	трудно	163.3	698
59  	возможно	161.8	702
60  	точно	161.7	704
61  	весьма	158.8	724
62  	легко	157.9	731
63  	впервые	155.5	743
64  	видно	155.2	744
65  	немного	151.9	770
66  	практически	149.4	781
67  	необходимо	149.0	785
68  	вовсе	145.3	807
69  	рано	144.1	817
70  	несмотря	143.9	819
71  	сильно	143.9	820
72  	кажется	143.2	827
73  	известно	143.0	831
74  	дома	142.5	832
75  	завтра	138.5	865
76  	видимо	136.4	878
77  	мало	135.8	883
78  	одновременно	135.4	886
79  	тихо	135.0	890
80  	недавно	133.3	905
81  	вновь	130.3	922
82  	вперед	128.1	936
83  	вчера	127.6	938
84  	полностью	127.0	944
85  	плохо	126.5	947
86  	постоянно	124.6	957
87  	едва	123.1	971
